issue_id,severity,review_source,location,explanation,required_correction,evidence_needed,resolution,verification_status
A2-01,Major,CYCLE2_ADVERSARIAL_VERIFICATION.md,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex Sec. Practical Implications line 477,"Stale pre-results sentence 'claims about tool or model effectiveness await the planned evaluation' contradicts the executed evaluation reported in Results/Ablation/Conclusion","Rewrite the sentence to reference the executed findings (e.g. the C2 access-narrowing caution and the C4 repair result) instead of a planned evaluation","Revised tex diff; recompiled PDF",,OPEN
A2-02,Major,CYCLE2_ADVERSARIAL_VERIFICATION.md,"tex Results lines 357-359 and 362-363; Discussion lines 460-461; Conclusion lines 562-563","Only the OpenAI gpt-5.6 family was evaluated (Amendment A3) yet headline sentences generalize to '2026 frontier-tier models' / '2026 frontier models' / 'current models'; Threats itself says conclusions generalize only to that family","Scope every such sentence to the evaluated family (e.g. 'the evaluated gpt-5.6 tiers' / 'the frontier tier evaluated here'); keep the threats disclosure","Revised tex diff showing all four sites scoped",,OPEN
A2-03,Major,CYCLE2_ADVERSARIAL_VERIFICATION.md,"tex Abstract lines 53-54 ('cleanly separates the model tiers'); Results lines 360-363","pass^5 ordering is strict in only 2 of 3 single-shot conditions: luna and terra tie at 0.917 in C3; adjacent tier ranges share endpoints (0.917 and 0.972); quoted terra range 0.917-0.972 omits terra C4=1.000; no uncertainty attached to pass^5","Drop 'cleanly'; acknowledge the C3 luna-terra tie; label the quoted ranges as C1-C3 single-shot conditions; optionally add uncertainty to pass^5 or state it is descriptive","M4_reliability.csv (recomputed and confirmed); revised abstract and Results wording",,OPEN
A2-04,Major,CYCLE2_ADVERSARIAL_VERIFICATION.md,tex Abstract line 56 ('a structured checklist prompt induces access-narrowing regressions'),"Unscoped present-tense causal claim: every pre-registered case-level contrast is underpowered (all M2 discordant counts <8; all Holm p=1.0) and the Ablation itself reports directions without significance claims; direction and mechanism ARE verified (7/15 C2 runs fail RBC-03 vs 0/30 in C1+C3; no-widening oracles pass in every failing row so all divergences are narrowings) but the abstract's register and scope exceed the pre-registered analysis","Hedge and scope the abstract claim, e.g. 'reproducibly induced access-narrowing regressions in all three evaluated models (a directional, underpowered contrast)'","M2_condition_deltas.csv; raw RBC-03 rows (recomputed and confirmed); revised abstract",,OPEN
A2-05,Minor,CYCLE2_ADVERSARIAL_VERIFICATION.md,tex Ablation lines 417-419,"'the only reproducible regression' overlooks within-model C3 regressions: terra C3 SCR-01 passes only 1/5 runs (vs 3/5 in C1; the sole case behind terra C3=35/36) and luna fails WFL-01 (2/5) and WFL-02 (1/5) only in C3","Qualify as 'the only regression reproduced across all three models' and note the within-model C3 SCR-01/WFL instability","Raw P2 rows for terra C3 SCR-01 and luna C3 WFL-01/WFL-02 (recomputed and confirmed)",,OPEN
A2-06,Minor,CYCLE2_ADVERSARIAL_VERIFICATION.md,tex Results lines 363-367,"'concentrated on four cases' accounts for 27 of 31 single-shot failures; the other 4 (all luna: WFL-01 x2 WFL-02 x1 SCR-02 x1) are never mentioned in Results although claim-ledger row C025 words this correctly","State the exact split ('27 of 31 failures concentrate on four cases; the remaining 4 are scattered small-tier workflow/script failures')","Failure census from P2 JSONLs (recomputed: SCR-01 10 BIZ-03 7 RBC-03 7 RIN-03 3 WFL-01 2 WFL-02 1 SCR-02 1)",,OPEN
A2-07,Minor,CYCLE2_ADVERSARIAL_VERIFICATION.md,tex Threats lines 482-484 vs Results lines 338-339,"Threats says 'no confidence interval is attached to the kill rate' but Results attaches a Wilson 95% CI [94.7 98.3] (which recomputes correctly); stale text from before the CI was added","Delete the contradictory clause from Threats (or replace with a caveat that the CI treats mutants as independent)","Revised tex diff",,OPEN
A2-08,Minor,CYCLE2_ADVERSARIAL_VERIFICATION.md,tex Limitations item (6) line 549,"'The repair-loop condition, when run, depends on...' uses stale conditional phrasing; C4 was executed (11 repair calls; leakage scan clean)","Drop 'when run' and state the audited-but-not-provable leakage risk for the executed C4","Revised tex diff",,OPEN
A2-09,Minor,CYCLE2_ADVERSARIAL_VERIFICATION.md,"06_figures_tables/M5_cost_latency.csv; 03_source_code/analysis/model_analysis.py lines 206-220; runner/run_experiment.py lines 294-308","For repaired C4 rows the JSONL records only the final call's input/output tokens and latency while cost_usd sums all calls and 'calls' counts repairs; M5 mean_latency_s divides last-call latencies by the repair-inflated call count; C4 token/latency columns therefore undercount (manuscript claims 9-21s and 3-8% overhead remain robust; costs are correctly summed)","Either sum tokens/latency across repair calls in the runner/aggregator or document the per-column semantics in 06_figures_tables/README.md before artifact release","Regenerated M5 or documented column semantics",,OPEN
A2-10,Editorial,CYCLE2_ADVERSARIAL_VERIFICATION.md,tex Abstract lines 52-53,"'1980 sandboxed generations then evaluate three commercial models under four prompting and repair conditions' implies a full 3x4 grid (2160); C4 ran on two of the three models (1980 = 3x3x5x36 + 2x1x5x36)","Add a parenthetical such as '(repair on the top two tiers)' to the abstract","Revised abstract",,OPEN
