work,task_domain,migration_focus,dataset_provenance,execution_env,objective_metrics,models_evaluated,baselines,artifacts_available,key_limitations
CRMArena (Huang et al. 2025),CRM operations (customer service tasks; agent/analyst/manager personas),"None - operates an existing CRM, no migration","Synthetic Salesforce-schema org data, expert-validated, latent-variable generation",Live Salesforce sandbox org; ReAct and function-calling agents,Task completion accuracy vs ground truth,GPT-4 class and open LLMs (late 2024),ReAct vs function-calling agent frameworks,Yes - public code/data (Salesforce AI Research),No migration or transformation tasks; no equivalence testing; single platform; synthetic data
CRMArena-Pro (Huang et al. 2025),"CRM + broader business (sales, service, CPQ; B2B/B2C; multi-turn)",None - task execution in fixed org,"Synthetic expert-validated data, Salesforce-style schemas, 19 task types",Sandboxed business environments; single- and multi-turn interaction,Task success; confidentiality-awareness measures,Frontier LLM agents (2025),Multiple agent configurations,Yes - public,Still task-completion oriented; no legacy/target org pairs; no code/metadata transformation
"EnterpriseBench (Vishwakarma et al. 2025, EMNLP)","Enterprise-wide tasks (SWE, HR, finance, admin) with access-control hierarchies",None,Simulated enterprise sandbox; 500 curated tasks from enterprise-like data sources,Closed enterprise sandbox with fragmented data sources and permissions,Task completion (best ~41.8%),SOTA LLM agents (2025),Multiple agent frameworks,Check camera-ready (EMNLP 2025),"Not CRM-specific; no migration; permission modeling for task execution, not preservation"
WorkBench (Styles et al. 2024),Workplace tasks over 5 databases incl. CRM-like customer data; 26 tools; 690 tasks,None,Synthetic sandbox databases,Local sandbox; outcome-centric DB-state comparison,Exact final-DB-state match,"GPT-4, Claude-2 era agents",ReAct-style toolkits,Yes - public,Synthetic simplified tools; no migration; no RBAC/audit semantics
tau-bench (Yao et al. 2024),"Customer-facing tool-agent-user dialogues (retail, airline) with policy compliance",None,"Hand-built domain DBs, policies, LLM-simulated users",Open-source harness; goal-state DB comparison,Success via DB state match; pass^k reliability over repeated trials,GPT-4o and peers (2024),Function-calling vs ReAct,Yes - public (Sierra),Two domains; no CRM schema; no code generation or migration
WorkArena (Drouin et al. 2024),Knowledge-work UI tasks on live ServiceNow instance,None,Real ServiceNow developer instance; programmatic task instances,BrowserGym web-agent environment with automatic oracles,Per-task success rate (env-verified),"GPT-4/3.5, open models; human baseline",Human performance; multiple agents,Yes - public harness,UI-level task execution only; no customization migration; ServiceNow not CRM per se
AgentBench (Liu et al. 2023),"General agent tasks across 8 environments (OS, DB, web, games)",None,Mixed curated environments,Multi-environment agent harness,Per-env success/score,27 API and open LLMs,Cross-model comparison,Yes - public,Breadth over depth; no enterprise customization or migration content
SWE-bench (Jimenez et al. 2024),Repository-level bug/issue resolution in real Python repos,None (within-repo edits),"Organic: 2,294 real GitHub issue-PR pairs",Containerized repo test-suite execution (fail-to-pass),% resolved; test-suite pass,"Claude 2, GPT-4 era onward; ongoing leaderboard",RAG and agent scaffolds,"Yes - public, maintained",Contamination and weak-test critiques; Python-only original; no cross-platform translation
HumanEval (Chen et al. 2021) / MBPP (Austin et al. 2021),Function-level Python code synthesis from docstrings/prompts,None,Hand-written problems + unit tests,Unit-test execution,pass@k,Codex era onward (field standard),n/a (originating benchmarks),Yes - public,Small isolated functions; saturated; weak tests (per EvalPlus); no enterprise context
EvalPlus (Liu et al. 2023),Test-adequacy hardening of code-gen benchmarks,None,Augmented HumanEval/MBPP tests (80x),Automated test generation + execution,pass@k drop under stronger tests (up to ~28.9 pts),26 LLMs,Original benchmark tests,Yes - public,Function granularity; not domain-specific; oracle design lessons only
TransCoder (Lachaux et al. 2020),C++/Java/Python function translation,Yes - language-to-language translation,852 parallel functions with unit tests (from competitive programming),Unit-test execution per translated function,Computational accuracy,TransCoder model vs commercial rule-based tools,"j2py, Tangible converters",Yes - public,Function-level; general-purpose languages; no enterprise artifacts
Lost in Translation (Pan et al. ICSE 2024),LLM code translation across 5 languages incl. real projects,Yes,"1,700 samples: benchmarks + real-world projects",Test execution; manual bug taxonomy (15 categories),Unsuccessful-translation rate (76.4-97.9% real-world); bug taxonomy,"GPT-4, Llama 2, StarCoder, TransCoder etc.",Cross-model,Yes - public,No CRM/declarative artifacts; no RBAC/audit; correctness only at code level
