issue_id,severity,review_source,location,explanation,required_correction,evidence_needed,resolution,verification_status
SE-01,Major,SOFTWARE_ENGINEERING_REVIEW.md,03_source_code/ (no VRL/workflow/CRMScript interpreter); tex Sec. Ground Truth and Executable Evaluation,"Equivalence is checked only by hand-transcribed pytest fixtures; no executable legacy semantics exists, so oracles cannot be differentially validated and workflow cases test only single-step fire() calls","Implement reference interpreters for the documented DSLs and differentially cross-validate all case expectations, or justify their absence in the manuscript and add multi-step workflow trajectory tests","Interpreter code + differential validation log covering all 36 cases, or revised manuscript text plus new trajectory tests passing reference/null checks",,OPEN
SE-02,Major,SOFTWARE_ENGINEERING_REVIEW.md,cases/*/target_spec.md (e.g. rbac/RBC-03; business_rules/BIZ-02); tex Sec. Benchmark Design Goals,"The 'modern platform' target is bare Python functions/JSON documents with harness-dictated signatures, not a plausible modern CRM stack; construct validity of the modernization target is never discussed","Add explicit target-construct-validity discussion to Design Goals or Threats; consider one category with a real framework artifact as target","Revised manuscript section; optionally a new case targeting a real framework",,OPEN
SE-03,Major,SOFTWARE_ENGINEERING_REVIEW.md,legacy_system/SYSTEM_OVERVIEW.md; cases/*/target_spec.md; tex title and Sec. Introduction,"Fully documented frozen semantics plus exhaustive target specs remove the defining difficulty of real replatforming (recovering implicit semantics); tasks reduce to spec-to-code generation","Add a task tier with deliberately incomplete specs requiring inference from artifacts, or narrow the framing in title/Sec.1 to behavior-preserving reimplementation of documented customizations","New case tier or revised framing text",,OPEN
SE-04,Major,SOFTWARE_ENGINEERING_REVIEW.md,06_figures_tables/surviving_mutants.csv; 09_peer_review_audit/mutant_triage.md; tex Sec. Failure and Error Analysis,"Survivor triage (completed during this audit, E7) confirms genuine oracle TEST_GAPs among the 28 survivors, including security-critical RBAC gaps (RBC-01: no ADMIN user ever tested and blank-DEL_FLG DELETE untested; RBC-02: no granting OWN row tested; also SCH-01, ERR-02, INT-02); gaps are unfixed and undisclosed in the manuscript","Fix every confirmed TEST_GAP test; re-run reference/null/mutation validation; report equivalent-vs-gap counts in Sec. Failure","Updated tests; regenerated 05_results and 06_figures_tables; revised manuscript text",,OPEN
SE-05,Minor,SOFTWARE_ENGINEERING_REVIEW.md,03_source_code/harness/mutation_check.py docstring vs find_mutations(),"SVR operator documented as applying to strings 'used in comparisons' but implementation mutates every 1-12 char string constant anywhere, inflating the pool with likely-equivalent mutants (e.g. AUD-01 SVR:'#')","Fix the docstring or restrict SVR to comparison contexts; re-run mutation analysis if operator scope changes","Updated script; regenerated mutation_results.jsonl and T3 if behavior changed",,OPEN
SE-06,Minor,SOFTWARE_ENGINEERING_REVIEW.md,03_source_code/harness/run_all.py (no exception handling around run_case),"subprocess.TimeoutExpired from run_case.py (600s) aborts the entire batch mid-JSONL; no per-case error disposition for instrument runs","Wrap run_case in try/except, record infra_error disposition per case, continue the batch","Updated run_all.py; demonstration log of a simulated timeout handled gracefully",,OPEN
SE-07,Minor,SOFTWARE_ENGINEERING_REVIEW.md,03_source_code/harness/validate_cases.py,"Validator does not enforce CASE_FORMAT contract items: <=20 tests, >=1 negative expectation, security-scan test where required, num_tests==collected; FORBIDDEN regex misses os.system/__import__/aliased imports","Extend validator checks to the full contract; use AST-based import analysis; soften the manuscript's 'validator enforces this contract' sentence if not extended","Updated validate_cases.py output showing 0 errors over 36 cases with new checks, or revised manuscript wording",,OPEN
SE-08,Minor,SOFTWARE_ENGINEERING_REVIEW.md,03_source_code/harness/mutation_check.py (is_killed = not all_passed; except Exception: continue),"Pytest infra errors count as mutant kills and unparseable mutants are silently skipped, both unlogged","Distinguish assertion-failure kills from infra errors in the JSONL; log skipped mutants","Regenerated mutation_results.jsonl with disposition field",,OPEN
SE-09,Minor,SOFTWARE_ENGINEERING_REVIEW.md,02_benchmark_dataset/cases/**/__pycache__; .venv/ inside v1/; 05_results/*.jsonl _meta,"Release hygiene: bytecode caches committed inside dataset, virtualenv in tree; all validation executed on a single environment (macOS arm64 / Python 3.14.2) with no CI","Add release manifest/excludes; add CI or a second-platform reproduction before release","Clean release archive listing; second-environment reproduction log",,OPEN
SE-10,Minor,SOFTWARE_ENGINEERING_REVIEW.md,legacy_system/SYSTEM_OVERVIEW.md Sec.2-4 vs cases/ (grep: SUBSTR/UPPER/CHR unused),"Documented DSL surface (VRL SUBSTR/UPPER/CHR; behavioral workflow timers) is never exercised by any case; dead spec surface weakens claimed semantic coverage","Add cases/tests exercising the unused functions and timer behavior, or trim the spec to the exercised surface","New tests passing reference validation, or reduced spec diff",,OPEN
SE-11,Minor,SOFTWARE_ENGINEERING_REVIEW.md,06_figures_tables/T3_mutation_sensitivity.csv (config_modernization 12 mutants); cases/integration/INT-01 (data-only deliverable),"Mutation validation covers only Python deliverables; oracles for data-only deliverables (endpoints.json etc.) receive no sensitivity validation","Add data-level mutation (perturb JSON/config fields and re-run tests) for data-only deliverables","Extended mutation results covering data deliverables",,OPEN
CD-01,Major,CRM_DOMAIN_REVIEW.md,legacy_system/legacy_schema.sql; SYSTEM_OVERVIEW.md Sec.5; tex Sec. Taxonomy,"Core CRM customization surfaces are absent: role hierarchy (MGR_UID unused in authz), sharing rules/permission sets/org-wide defaults, leads/campaigns (despite a marketing_sync integration), record types/UI layouts, approval processes, duplicate rules","Enumerate the excluded surfaces explicitly in Limitations item (3); consider adding hierarchy or lead-conversion cases in a future version","Revised Limitations text; optional new cases",,OPEN
CD-02,Major,CRM_DOMAIN_REVIEW.md,legacy_schema.sql ORD_HEADER (no TEAM_CD) vs role_permissions.csv MGR ORD_HEADER TEAM rows; cases/rbac/*/target_spec.md,"TEAM-scope grants exist for an entity with no TEAM_CD column and the spec never defines owner-team resolution; RBAC cases inject record TEAM_CD by fiat, papering over an underdefined legacy semantics","Define owner-team resolution in SYSTEM_OVERVIEW.md Sec.5 (e.g. resolve via USR_MASTER) or add TEAM_CD to ORD_HEADER; align case fixtures","Updated spec/schema; revalidated RBAC cases",,OPEN
