issue_id,severity,review_source,location,explanation,required_correction,evidence_needed,resolution,verification_status
ED-001,Critical,EDITORIAL_DESK_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 172-185, 286-287, 302-306","Evaluation-benchmark paper contains zero model-evaluation results; RQ1-RQ4 are explicitly unanswered and conditions C1-C4 unexecuted; only instrument validation (RQ0) is reported. OJ-CS would return this as premature.","Execute at least C1 (preferably C1-C3) of the frozen protocol on >=2 named models with k=5 runs, report with planned statistics, then update Results/Ablation/Failure sections; or reframe as instrument-only paper only after EiC pre-submission inquiry.","E1-E5 per 04_experiments/EVIDENCE_REQUIRED.md: raw run outputs in 04_experiments/raw_outputs/, aggregated results in 05_results/model_runs/, cost/latency CSV, statistical analysis outputs.",,OPEN
ED-002,Critical,EDITORIAL_DESK_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 15-21, 27-28, 32-35","Manuscript is administratively unsubmittable: DRAFT watermark, draft note with date and internal cross-reference inside the title, and 'Author Names Pending' with no ORCIDs despite IEEE requiring ORCID for all authors.","Complete author list, affiliations, ORCIDs, corresponding author (AUTHORSHIP_ORCID_CHECKLIST.md); remove watermark and title draft note only when readiness criteria are met.","E8 per EVIDENCE_REQUIRED.md: completed authorship checklist in 00_project_admin/ and 10_submission_package/.",,OPEN
ED-003,Major,EDITORIAL_DESK_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 54, 100 vs lines 393-394, 419-420","Abstract claims the benchmark and validation evidence 'are released for independent reproduction' and Introduction claims reproducibility 'from the released artifact', but Data Availability admits repository URL and archival DOI are pending placeholders. Release claim is currently untrue.","Either complete public hosting plus archival deposit (IEEE DataPort/Code Ocean per OJ-CS CFP) before submission, or change wording to 'will be released' until the artifact is live.","Live repository URL and DOI recorded in Data Availability section; deposit confirmation in 10_submission_package/.",,OPEN
ED-004,Major,EDITORIAL_DESK_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 32-35; 00_project_admin/OJCS_CURRENT_REQUIREMENTS.md section 11","No author identities or ORCIDs; IEEE journals require an ORCID for every author and submission cannot proceed without them.","Human authors complete AUTHORSHIP_ORCID_CHECKLIST.md and populate the author block per the official template.","E8: completed checklist; ORCIDs verified at submission portal.",,OPEN
ED-005,Minor,EDITORIAL_DESK_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 73-74","'the property that matters most: behavioral preservation' is an unsupported importance ranking (promotional phrasing).","Rephrase as the property this benchmark targets (e.g. 'a property no existing benchmark measures') without asserting objective primacy.","None (wording change).",,OPEN
ED-006,Minor,EDITORIAL_DESK_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 44-45 (abstract) and line 157","Universal negative claims ('none measures...', 'no existing benchmark measures...') are supported only by the 38-reference novelty audit; unhedged universals overstate the search basis.","Qualify with 'to our knowledge' in both locations, consistent with the caution in 01_literature/NOVELTY_AUDIT.md.","None (wording change); NOVELTY_AUDIT.md search log as basis.",,OPEN
ED-007,Minor,EDITORIAL_DESK_REVIEW,"04_experiments/EVIDENCE_REQUIRED.md closing paragraph; 07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 304-306","If the instrument-only fallback framing is ever pursued, the project's own register says it is not recommended without at least one executed model condition and would need editor pre-checking; no pre-submission inquiry exists.","Before any instrument-only submission, send a pre-submission inquiry to the OJ-CS EiC describing the framing; record the response in 00_project_admin/.","EiC response documented in 00_project_admin/.",,OPEN
ED-008,Minor,EDITORIAL_DESK_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 197-199, 399-400","Pilot scale (36 cases, 3 per category) limits significance for a journal claiming 'high-impact results'; category-level conclusions are descriptive only. Honest but thin without model results or scale-up.","Pair the pilot with executed model evaluations (ED-001) and/or a scale-up plan with concrete numbers; keep the descriptive-only caveat.","Executed model runs (E1-E3) or documented scale-up in a revision.",,OPEN
PR-001,Critical,IEEE_PRESENTATION_REVIEW,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 3-8","Manuscript uses IEEEtran journal class as a stand-in; OJ-CS requires the official IEEE Open Journals template (template required for CS journal submissions).","Download the IEEE Open Journals LaTeX template via template-selector.ieee.org, port the manuscript, recompile, and re-verify the 12-page fit (blocker E9).","E9 per EVIDENCE_REQUIRED.md: compiled manuscript on official template in 07_manuscript/.",,OPEN
PR-002,Major,IEEE_PRESENTATION_REVIEW,"06_figures_tables/F1_instrument_validation.pdf and .png","Figure is clipped in both formats: y-axis category labels truncated at left edge (e.g. 'erential integrity', 'chema mapping', 'g. modernization', 'atch processing'), bottom panel captions '(a)...' and '(b)...' cut off mid-glyph, and a stray red rectangle artifact in the top-left corner.","Fix margins in 03_source_code/analysis/make_figures.py (bbox_inches='tight' or explicit subplots_adjust), remove the stray artifact, regenerate PDF and PNG, and visually verify no clipping.","Regenerated F1 files with full labels/captions; visual check recorded.",,OPEN
