issue_id,severity,review_source,location,explanation,required_correction,evidence_needed,resolution,verification_status
E2-01,Critical,CYCLE2_EDITORIAL_PRESENTATION,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 15-21, 25-35, 528-531, 568-571","Administrative unsubmittability persists (deliberate, carried from ED-002/PR-001/PR-007): DRAFT watermark, draft note inside \title, 'Author Names Pending' with no ORCIDs, IEEEtran stand-in instead of the mandatory IEEE Open Journals template, repository/DOI placeholders in Reproducibility and Data Availability. The scientific-prematurity pillar of the cycle-1 desk rejection is now cleared by the executed protocol; this pillar is the remaining desk blocker.","Complete B2 (authors/ORCIDs), B3 (official template port + recompile + page-fit check), B4 (public repo + archival DOI, insert URLs), then strip watermark/draft annotations per FINAL_SUBMISSION_CHECKLIST.md.","Completed authorship checklist; compiled manuscript on official template; live repository URL and DOI in Data Availability.",,OPEN
E2-02,Major,CYCLE2_EDITORIAL_PRESENTATION,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 178-180 (RQ2), 295-297 (metrics list), 324-325 (Results opener); 06_figures_tables/M3_property_class.csv","RQ2 (which property classes fail most) is promised — Setup pledges 'property-class pass rates from a manually reviewed, frozen per-test tag map' and the Results opener claims Table III covers RQ1-RQ4 — but no property-class pass rate appears anywhere in the paper and M3_property_class.csv is never cited. The Failure Analysis defect taxonomy is case/defect-level, not the frozen tag-map property classes. RQ2 is answered only qualitatively.","Add a short property-class results statement or mini-table (from M3) to Results or Failure Analysis, or explicitly re-scope the Results opener and RQ2 answer to qualitative failure-locus analysis and say where the M3 table lives in the artifact.","Revised Results/Failure text citing M3 numbers; ledger row for the property-class claim.",,OPEN
E2-03,Major,CYCLE2_EDITORIAL_PRESENTATION,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 483-484 (Threats) vs lines 338-340 (Results)","Internal contradiction: Threats states 'no confidence interval is attached to the kill rate' while Results attaches exactly that — 'killed at 97.0% (352/363; Wilson 95% CI [94.7, 98.3])'. The Threats sentence predates the cycle-1 fix (ST-02 resolution) that added the CI macro.","Delete or rewrite the Threats clause (e.g. keep only the Python-only coverage and operator-mix bounds; note the CI is not cluster-aware if that is the intended residual caveat).","Updated Threats paragraph consistent with Results.",,OPEN
E2-04,Major,CYCLE2_EDITORIAL_PRESENTATION,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 476-477 (Practical Implications),"Stale results-pending sentence: 'These implications concern the instrument; claims about tool or model effectiveness await the planned evaluation.' The evaluation has been executed and reported two sections earlier; this reads as if results are still pending and contradicts Results/Ablation.","Replace with a sentence pointing at the executed findings (e.g. the C2 access-narrowing caution and the repair-loop result are themselves practical implications) or delete the clause.","Revised sentence.",,OPEN
E2-05,Major,CYCLE2_EDITORIAL_PRESENTATION,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 374-381 (figure* fig:val); no \ref{fig:val} anywhere,"Figure 1 is never cited in the text (grep confirms label fig:val has zero \ref uses). IEEE requires every figure to be referenced in numerical order; the figure currently floats to page 6 unanchored to any prose.","Add Fig.~\ref{fig:val} citation at the instrument-validation results (c. line 330) where per-category tests and kill rates are discussed.","Recompiled PDF with the in-text citation.",,OPEN
E2-06,Major,CYCLE2_EDITORIAL_PRESENTATION,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 360-362; 06_figures_tables/M4_reliability.csv; ledger C024","The pass^5 tier-ordering claim quotes ranges (luna 0.889-0.917, terra 0.917-0.972, sol 0.972-1.000) computed over C1-C3 only without saying so: terra's C4 pass^5 is 1.000 (M4), outside its stated range and overlapping sol's; and in C3 terra ties luna at 0.917, so 'orders the tiers cleanly' does not hold as disjoint ranges. The headline reliability finding needs scoping. Ledger C024 repeats the unscoped phrasing.","State the ranges are over the single-shot conditions C1-C3 (C4's repair loop changes the quantity being measured), soften 'cleanly' to reflect the C3 tie, and update ledger C024 wording accordingly.","Revised Results sentence and C024 row; numbers re-checked against M4_reliability.csv.",,OPEN
E2-07,Major,CYCLE2_EDITORIAL_PRESENTATION,08_supplementary_material/REPRODUCTION_GUIDE.md (closing note and steps) vs 07_manuscript tex lines 523-529,"Reproduction guide is stale and incomplete for the new state: it still says 'Model-evaluation runs (conditions C1-C4) are NOT included because they have not been executed', and its steps end at aggregate.py/measure_inputs.py — no instructions for reproducing the model-run analysis (analysis/model_analysis.py to M1-M5/run_disposition, analysis/make_tex_tables.py to generated/*.tex, make_figures.py, C5 transpiler_c5.py, verifying model_runs/ against SHA256SUMS). The manuscript's Reproducibility section claims every table is script-generated and the artifact ships a step-by-step guide; Tables III and the M tables are currently outside the guide.","Rewrite the guide: add model_analysis.py, make_tex_tables.py, make_figures.py, and C5 steps reading the archived model_runs/ logs (non-destructive, diff-based like the existing steps); delete the not-executed disclaimer; note that re-querying the model APIs is optional/costed while re-analysis from archived logs is free.","Updated guide verified by a clean re-run of the analysis chain from archived logs.",,OPEN
E2-08,Major,CYCLE2_EDITORIAL_PRESENTATION,10_submission_package/SUBMISSION_READINESS_REPORT.md (B1 row; Honesty notes; 7pp claim) and SUBMISSION_BLOCKERS.md (B1 row; status line),"The two authoritative readiness documents contradict the repository state: B1 still reads 'No LLM evaluation results (RQ1-RQ4 unanswered) … Remaining: API keys … then execute P1-P3'; the Honesty notes still say 'the manuscript's Results section reports instrument validation only'; the report says '7 pp' (now 8). All executed 2026-09-01/02 (model_runs/, ledger C022-C030).","Update both documents: close or re-scope B1 as executed (runs complete, cycle-2 review underway), fix the honesty notes to describe the executed-results manuscript, refresh page count and date/status lines.","Revised SUBMISSION_READINESS_REPORT.md and SUBMISSION_BLOCKERS.md dated post-execution.",,OPEN
E2-09,Major,CYCLE2_EDITORIAL_PRESENTATION,02_benchmark_dataset/DATASET_CARD.md (Status header; validation bullet),"Public-facing dataset card is stale: header says 'Status: pilot instrument; no LLM evaluation results exist yet' and the validation bullet lists only reference/null/mutation runs — no mention of the executed C5 transpiler control or the three-model four-condition evaluation the paper now reports.","Update Status to reflect the executed evaluation (v0.3 state), and add the C5 and model-evaluation results (with pointers to 05_results/model_runs/ and 06_figures_tables/M*) to the validation/provenance section.","Revised DATASET_CARD.md consistent with the manuscript.",,OPEN
E2-10,Minor,CYCLE2_EDITORIAL_PRESENTATION,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 397-409 (Table III caption/header) vs lines 366-368 (prose); 06_figures_tables/M5_cost_latency.csv","Table III's '$' column is the five-run cell total (M5 cost_usd) but the caption says only 'total metered cost' and the prose quotes per-pass costs ($0.05-$1.19 = column/5); a reader cannot reconcile 4.53 with $1.19 without guessing the divisor. Bare column headers '\$' and 's' are terse even with the caption.","State '5-run total' in the caption (or add a per-pass column), and label headers e.g. 'Cost (\$)' and 'Lat. (s)'.","Regenerated T3_model_results.tex/caption; prose cross-check.",,OPEN
E2-11,Minor,CYCLE2_EDITORIAL_PRESENTATION,07_manuscript/generated/T3_model_results.tex; Table III caption lines 398-400,"Table III model grouping: each model's label appears only on its first row with blank continuation cells and no \midrule or \multirow separation between the three blocks (fragile to misreading); and the luna C4 row is silently absent while the caption promises 'per condition (five runs per cell)' — the C4-on-two-tiers scoping lives only in Setup prose.","Emit a \midrule between model blocks (or use \multirow labels) in make_tex_tables.py, and either add a dash row for luna C4 or a caption note 'C4 executed on frontier and mid tiers only'.","Regenerated table fragment; recompiled PDF.",,OPEN
E2-12,Minor,CYCLE2_EDITORIAL_PRESENTATION,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex line 405 (header 'p\textasciicircum{}5') vs lines 296, 360, 427 ('pass\textasciicircum{}5'); numbers.tex \PTwoGens=1980 vs '1{,}620'/'1{,}700' in prose","Notation inconsistencies in the new material: table header abbreviates to p^5 while text uses pass^5; the caret is typeset in text mode rather than math ($\mathrm{pass}^5$); thousands separators are inconsistent (1980 from the macro, but 1,620 and 1,700 with separators in prose).","Standardize on one pass^5 form (math-mode) in header and text; emit \PTwoGens with a thin-space/comma separator in make_tex_tables.py or drop separators consistently.","Regenerated numbers.tex; recompiled PDF.",,OPEN
E2-13,Minor,CYCLE2_EDITORIAL_PRESENTATION,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex line 549 (Limitations item 6),"Stale conditional phrasing: 'The repair-loop condition, when run, depends on a redaction mechanism…' — C4 has been run; the limitation itself (leakage risk audited but not provably absent) still applies but the tense reads pre-execution.","Change to 'as run' / 'as executed' phrasing.","Revised sentence.",,OPEN
E2-14,Minor,CYCLE2_EDITORIAL_PRESENTATION,"07_manuscript/LegacyCRM_Bench_OJCS_v1.tex lines 161-172 (Contributions) and 185-187 (RQ routing)","With results executed, the Contributions list still enumerates only the four instrument contributions — the executed three-model evaluation and its calibration finding are absent, so the paper now undersells its empirical contribution; and 'Sec. X answers RQ1-RQ4' is imprecise since RQ3's condition analysis is delivered in Sec. XI (Ablation).","Add a fifth contribution item (executed frozen-protocol evaluation + calibration result + C2 regression finding) and route the RQ answer sentence to Secs. X-XII.","Revised Gap/RQ text.",,OPEN
