issue_id,severity,review_source,location,explanation,required_correction,evidence_needed,resolution,verification_status
BM-01,Critical,BENCHMARK_REVIEW.md,07_manuscript/LegacyCRM_Bench_OJCS_v1.tex Secs IX-X; 04_experiments/EVIDENCE_REQUIRED.md E1-E5,No LLM evaluation has been executed; an evaluation-shaped benchmark paper with zero model results is not submittable and the instrument's discriminative value among real systems is unevidenced,Execute at least a minimal credible slate (two providers: one frontier each; one mid-tier; one open-weights model) under the frozen protocol conditions C1-C2 with k=5 before submission,05_results/model_runs/ JSONL + 04_experiments/raw_outputs/ with SHA-256 manifests and run-disposition table,,OPEN
BM-02,Major,BENCHMARK_REVIEW.md,02_benchmark_dataset/DATASET_CARD.md (provenance); tex Sec VII (Authoring process) and Sec XV (Internal threats),Same project and same LLM authored semantics tests references and derivations; null-baseline and mutation controls cannot detect correlated spec-misreading errors shared by test and reference; no independent human re-derivation exists or is planned,Commission an independent human (non-author of the cases) to re-derive expected values for a random sample of cases from SYSTEM_OVERVIEW.md alone and report agreement; add to EVIDENCE_REQUIRED.md,Signed re-derivation audit report with per-case agreement rates filed in 09_peer_review_audit/,,OPEN
BM-03,Major,BENCHMARK_REVIEW.md,03_source_code/harness/mutation_check.py (mutants_for_case globs reference/*.py); 06_figures_tables/T3_mutation_sensitivity.csv; tex Sec X,Mutation analysis covers only Python deliverables: CFG-01 CFG-03 INT-01 (JSON-only) received zero mutants and non-Python deliverables (policy.json schedule.json modern_schema.sql workflows.json enums.json endpoints.json) are never mutated; config-oracle sensitivity is untested and the manuscript does not disclose the boundary,Either extend mutation to structured-config deliverables (key/value/order perturbations) or explicitly disclose in Secs X and XV that mutation evidence covers Python deliverables only and list the zero-mutant cases,Updated mutation_results.jsonl covering config deliverables or amended manuscript text plus disclosure row in T3,,OPEN
BM-04,Major,BENCHMARK_REVIEW.md,05_results/mutation_results.jsonl (recomputed operator mix SVR 267/363 = 73.5%); mutation_check.py cap-12 even-spread selection,Operator mix is dominated by string-constant mutation because selection is unstratified; SVR mutants are easiest to kill so the 92.3% headline overstates oracle strength; 25 of 28 survivors are SVR,Stratify mutant selection by operator within the per-case cap and report per-operator kill rates (SVR 242/267 ROR 65/67 AOR 20/20 CBR 8/9) in the manuscript,Regenerated mutation_results.jsonl with stratified selection or per-operator table in Sec X,,OPEN
BM-05,Major,BENCHMARK_REVIEW.md,04_experiments/EXPERIMENT_PLAN.md (Preservation-property tagging); simulated over all 505 test names in 05_results/reference_validation.jsonl,Name-token tagging is demonstrably wrong: INT-03 privacy tests test_opted_out_contact_*_never_in_payload miss the 'optout' token while functional test_blank_optout_flag_means_included matches it; test_pref_ch_phone_preserved mis-tags as completeness; RBC-03 core security tests tag functional; only 29/505 tests tag security; tag_tests.py unimplemented; RQ2 depends on this map,Replace name-token heuristic with explicit per-test markers (e.g. pytest marks) enforced by validate_cases.py or a hand-audited frozen tag file; define a tie-break rule for multi-token names,Frozen 05_results/test_tags.csv with documented manual audit and validator enforcement,,OPEN
BM-06,Major,BENCHMARK_REVIEW.md,cases/*/*/target_spec.md (exact interfaces); tex Sec I framing vs Sec XV External threats,Tasks are single-module reimplementations from precise specs with semantics excerpts supplied in-case; this measures spec-following synthesis with legacy-convention traps not discovery-heavy real migration; Introduction framing invites a stronger reading than tasks support,Temper Sec I framing to state the instrument isolates convention-preservation under full documentation; move the simplification concession forward from Threats,Revised manuscript text,,OPEN
BM-07,Major,BENCHMARK_REVIEW.md,04_experiments/ESTIMATED_COSTS.md (all-Anthropic illustrative slate) vs STUDY_PROTOCOL.md Sec 4 (at least two providers); tex Acknowledgments (Claude authored artifacts),Benchmark artifacts were authored with Claude yet the only concrete slate is all-Anthropic contradicting the protocol's own two-provider rule; single-provider evaluation of an authoring-model's benchmark is uninterpretable,Fix the slate to span at least two providers plus an open-weights model; disclose the authoring-model relationship in the evaluation section of the paper,Updated ESTIMATED_COSTS.md slate; RUN_AUTHORIZATION.md recording actual model IDs; disclosure paragraph in manuscript,,OPEN
BM-08,Minor,BENCHMARK_REVIEW.md,STUDY_PROTOCOL.md Sec 7; DATASET_CARD.md contamination note; tex Limitations item 5,Full release of tests and reference solutions makes every post-release model presumptively contaminated and the held-out variant generator is only future work; generic-convention familiarity further weakens the difficulty argument,Elevate the post-release contamination trade-off into the Discussion; commit to a held-out variant plan or a versioned refresh policy before public release,Release note and Discussion text; documented held-out variant design,,OPEN
BM-09,Minor,BENCHMARK_REVIEW.md,cases/rbac/RBC-03/tests/test_acceptance.py (test_full_decision_equivalence packs 720 tuples into one test) vs cases/integration/INT-03 (14 fine-grained tests),Test granularity is grossly uneven across cases so per-test pass proportions are not comparable and all-tests-pass hides near-miss vs total failure in coarse cases,Keep case-level all-pass as primary; emit tuple/sub-assertion counts for enumeration-style tests as case-local diagnostics; caveat per-test proportions in the protocol,Amended STUDY_PROTOCOL.md metrics section and harness support for sub-counts,,OPEN
BM-10,Minor,BENCHMARK_REVIEW.md,tex Tables I-II (12 per-category rows n=3); Sec XV,Per-category tables invite ranking from n=3 descriptive data; descriptive-only caveat lives in Threats not in the table captions,Add 'descriptive; n=3 per category; no inferential comparison' to captions of Tables I-II,Revised captions,,OPEN
